"Principal Name","Password","Role","Organization","Full Name"
"geodchair3","geodchair3","Chair of the Chemical Division COC","Chemical Science Division Coc","geodchair3, geodchair3(geodchair3)"
"geodchair4","geodchair4","Chair of the Chemical Division COC","Chemical Science Division Coc","geodchair4, geodchair4(geodchair4)"
"geocc1","geocc1","Member of COC","The College of Life and Chemical Sciences Curriculum Committee","geocc1, geocc1(geocc1)"
"geocc2","geocc2","Member of COC","The College of Life and Chemical Sciences Curriculum Committee","geocc2, geocc2(geocc2)"
"geocc3","geocc3","Member of COC","The College of Life and Chemical Sciences Curriculum Committee","geocc3, geocc3(geocc3)"
"geocc4","geocc4","Member of COC","The College of Life and Chemical Sciences Curriculum Committee","geocc4, geocc4(geocc4)"
"geocc5","geocc5","Member of COC","The College of Life and Chemical Sciences Curriculum Committee","geocc5, geocc5(geocc5)"
"geocc6","geocc6","Member of COC","The College of Life and Chemical Sciences Curriculum Committee","geocc6, geocc6(geocc6)"
"geocc7","geocc7","Member of COC","The College of Life and Chemical Sciences Curriculum Committee","geocc7, geocc7(geocc7)"
"geocc8","geocc8","Member of COC","The College of Life and Chemical Sciences Curriculum Committee","geocc8, geocc8(geocc8)"
"geocchair1","geocchair1","Chair of COC","The College of Life and Chemical Sciences Curriculum Committee","geocchair1, geocchair1(geocchair1)"
"geocchair2","geocchair2","Chair of COC","The College of Life and Chemical Sciences Curriculum Committee","geocchair2, geocchair2(geocchair2)"
"fishon1","fishon1","Member","Fisheries Department","fishon1, fishon1(fishon1)"
"fishon2","fishon2","Member","Fisheries Department","fishon2, fishon2(fishon2)"
"fishon3","fishon3","Member","Fisheries Department","fishon3, fishon3(fishon3)"
"fishon4","fishon4","Member","Fisheries Department","fishon4, fishon4(fishon4)"
"fishon5","fishon5","Member","Fisheries Department","fishon5, fishon5(fishon5)"
"fishon6","fishon6","Member","Fisheries Department","fishon6, fishon6(fishon6)"
"fishon7","fishon7","Member","Fisheries Department","fishon7, fishon7(fishon7)"
"fishon8","fishon8","Member","Fisheries Department","fishon8, fishon8(fishon8)"
"fishon9","fishon9","Member","Fisheries Department","fishon9, fishon9(fishon9)"
"fishon10","fishon10","Member","Fisheries Department","fishon10, fishon10(fishon10)"
"fishon11","fishon11","Member","Fisheries Department","fishon11, fishon11(fishon11)"
"fishon12","fishon12","Member","Fisheries Department","fishon12, fishon12(fishon12)"
"fishon13","fishon13","Member","Fisheries Department","fishon13, fishon13(fishon13)"
"fishon14","fishon14","Member","Fisheries Department","fishon14, fishon14(fishon14)"
"fishon15","fishon15","Member","Fisheries Department","fishon15, fishon15(fishon15)"
"fishdptcoc1","fishdptcoc1","Member","Fisheries Department COC","fishdptcoc1, fishdptcoc1(fishdptcoc1)"
"fishdptcoc2","fishdptcoc2","Member","Fisheries Department COC","fishdptcoc2, fishdptcoc2(fishdptcoc2)"
"fishdptcoc3","fishdptcoc3","Member","Fisheries Department COC","fishdptcoc3, fishdptcoc3(fishdptcoc3)"
"fishdptcoc4","fishdptcoc4","Member","Fisheries Department COC","fishdptcoc4, fishdptcoc4(fishdptcoc4)"
"fishdptcoc5","fishdptcoc5","Member","Fisheries Department COC","fishdptcoc5, fishdptcoc5(fishdptcoc5)"
"fishdptcoc6","fishdptcoc6","Member","Fisheries Department COC","fishdptcoc6, fishdptcoc6(fishdptcoc6)"
"fishdptcoc7","fishdptcoc7","Member","Fisheries Department COC","fishdptcoc7, fishdptcoc7(fishdptcoc7)"
"fishdptcoc8","fishdptcoc8","Member","Fisheries Department COC","fishdptcoc8, fishdptcoc8(fishdptcoc8)"
"fishdptcoc9","fishdptcoc9","Member","Fisheries Department COC","fishdptcoc9, fishdptcoc9(fishdptcoc9)"
"fishdptcoc10","fishdptcoc10","Member","Fisheries Department COC","fishdptcoc10, fishdptcoc10(fishdptcoc10)"
"fishdptchair1","fishdptchair1","Chair","Fisheries Department COC","fishdptchair1, fishdptchair1(fishdptchair1)"
"fishdptchair2","fishdptchair2","Chair","Fisheries Department COC","fishdptchair2, fishdptchair2(fishdptchair2)"
"fishdvcoc1","fishdvcoc1","Member","Oceanography Division COC","fishdvcoc1, fishdvcoc1(fishdvcoc1)"
"fishdvcoc2","fishdvcoc2","Member","Oceanography Division COC","fishdvcoc2, fishdvcoc2(fishdvcoc2)"
"fishdvcoc3","fishdvcoc3","Member","Oceanography Division COC","fishdvcoc3, fishdvcoc3(fishdvcoc3)"
"fishdvcoc4","fishdvcoc4","Member","Oceanography Division COC","fishdvcoc4, fishdvcoc4(fishdvcoc4)"
"fishdvcoc5","fishdvcoc5","Member","Oceanography Division COC","fishdvcoc5, fishdvcoc5(fishdvcoc5)"
"fishdvcoc6","fishdvcoc6","Member","Oceanography Division COC","fishdvcoc6, fishdvcoc6(fishdvcoc6)"
"fishdvcoc7","fishdvcoc7","Member","Oceanography Division COC","fishdvcoc7, fishdvcoc7(fishdvcoc7)"
"fishdvcoc8","fishdvcoc8","Member","Oceanography Division COC","fishdvcoc8, fishdvcoc8(fishdvcoc8)"
"fishdvcoc9","fishdvcoc9","Member","Oceanography Division COC","fishdvcoc9, fishdvcoc9(fishdvcoc9)"
"fishdvcoc10","fishdvcoc10","Member","Oceanography Division COC","fishdvcoc10, fishdvcoc10(fishdvcoc10)"
"fishdvchair1","fishdvchair1","Chair","Oceanography Division COC","fishdvchair1, fishdvchair1(fishdvchair1)"
"fishdvchair2","fishdvchair2","Chair","Oceanography Division COC","fishdvchair2, fishdvchair2(fishdvchair2)"
"fishdvchair3","fishdvchair3","Chair","Oceanography Division COC","fishdvchair3, fishdvchair3(fishdvchair3)"
"fishdvchair4","fishdvchair4","Chair","Oceanography Division COC","fishdvchair4, fishdvchair4(fishdvchair4)"
"fishcollegec1","fishcollegec1","Member","The College of Ocean and Fishery Sciences","fishcollegec1, fishcollegec1(fishcollegec1)"
"fishcollegec2","fishcollegec2","Member","The College of Ocean and Fishery Sciences","fishcollegec2, fishcollegec2(fishcollegec2)"
"fishcollegec3","fishcollegec3","Member","The College of Ocean and Fishery Sciences","fishcollegec3, fishcollegec3(fishcollegec3)"
"fishcollegec4","fishcollegec4","Member","The College of Ocean and Fishery Sciences","fishcollegec4, fishcollegec4(fishcollegec4)"
"fishcollegec5","fishcollegec5","Member","The College of Ocean and Fishery Sciences","fishcollegec5, fishcollegec5(fishcollegec5)"
"fishcollegec6","fishcollegec6","Member","The College of Ocean and Fishery Sciences","fishcollegec6, fishcollegec6(fishcollegec6)"
"fishcollegec7","fishcollegec7","Member","The College of Ocean and Fishery Sciences","fishcollegec7, fishcollegec7(fishcollegec7)"
"fishcollegec8","fishcollegec8","Member","The College of Ocean and Fishery Sciences","fishcollegec8, fishcollegec8(fishcollegec8)"
"fishcollegechair9","fishcollegechair9","Chair","The College of Ocean and Fishery Sciences COC","fishcollegechair9, fishcollegechair9(fishcollegechair9)"
"fishcollegechair10","fishcollegechair10","Chair","The College of Ocean and Fishery Sciences COC","fishcollegechair10, fishcollegechair10(fishcollegechair10)"
"senate1","senate1","Member of the COC","Senate Subcommittee on Curricula","senate1, senate1(senate1)"
"senate2","senate2","Member of the COC","Senate Subcommittee on Curricula","senate2, senate2(senate2)"
"senate3","senate3","Member of the COC","Senate Subcommittee on Curricula","senate3, senate3(senate3)"
"senate4","senate4","Member of the COC","Senate Subcommittee on Curricula","senate4, senate4(senate4)"
"senate5","senate5","Member of the COC","Senate Subcommittee on Curricula","senate5, senate5(senate5)"
"senate6","senate6","Member of the COC","Senate Subcommittee on Curricula","senate6, senate6(senate6)"
"senate7","senate7","Member of the COC","Senate Subcommittee on Curricula","senate7, senate7(senate7)"
"senate8","senate8","Member of the COC","Senate Subcommittee on Curricula","senate8, senate8(senate8)"
"senatechair","senatechair","Chair of the COC","Senate Subcommittee on Curricula","senatechair, senatechair(senatechair)"
"puboffice1","puboffice1","Chair of Publishing COC","Publication Office","puboffice1, puboffice1(puboffice1)"
